,originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isRatable,isAdult,numRegions,userReviewsTotal,countryOfOrigin,genre1,genre2,genre3,totVotes
9174,Sukhoon,9,2015,,17,0.0,2,0,12,0,video,0,False,True,False,1,0,['IN'],Drama,Mystery,Short,16
9175,Gin'iro no Chô Enerugî! Shônetsu Jigoku,7,1975,,55,0.0,1,0,18,0,tvEpisode,0,False,True,False,1,0,['JP'],Action,Adventure,Drama,7
9176,Homer the Smithers,9,1996,,30,0.0,3,0,141,0,tvEpisode,0,False,True,False,1,5,['US'],Animation,Comedy,,4252
9177,Tills. med Gunilla månd. kväll o. tisd.,6,1965,,92,,12,0,16,1,movie,1,False,True,False,5,0,['SE'],Drama,,,14
9178,Ne Me'e Laua Na Paio (Heroes and Villains),8,2011,,60,0.0,8,1,164,2,tvEpisode,0,False,True,False,1,3,['US'],Action,Crime,Drama,680
9179,Exploding Plastic Inevitable,7,1967,,22,0.0,4,0,14,1,short,0,False,True,False,1,1,['US'],Documentary,Short,,78
9180,Die Dame aus Amsterdam,8,1987,,58,0.0,1,0,39,0,tvEpisode,0,False,True,False,1,0,['XWG'],Crime,Drama,,68
9181,The Tall Man Tale,8,2018,,33,0.0,5,0,13,0,short,0,False,True,False,1,0,['IT'],Drama,Short,,5
9182,Basic Brown Basic Blue,6,1969,,13,0.0,0,0,5,0,short,0,False,True,False,1,1,['US'],Comedy,Documentary,Short,18
9183,You'd Be Surprised,9,2012,,59,0.0,12,0,280,4,tvEpisode,0,False,True,False,1,2,['US'],Crime,Drama,,1954
9184,The I.Q. Test,7,1974,,25,0.0,1,0,34,0,tvEpisode,0,False,True,False,1,1,['US'],Comedy,,,106
9185,Ankush,8,2006,,81,0.0,0,0,7,0,tvMovie,0,False,True,False,1,1,['IN'],Drama,,,11
9186,Boy bez pravil,4,2004,,94,,0,0,25,0,tvEpisode,0,False,True,False,1,0,['RU'],Crime,,,13
9187,Lost and Crazy,9,2008,,13,,0,0,9,0,short,0,False,True,False,1,0,['US'],Comedy,Short,,10
9188,The Lost City,7,2022,,112,3.0,251,42,779,254,movie,10,False,True,False,54,1131,['US'],Action,Adventure,Comedy,164488
9189,Lonely Place,9,2004,,13,2.0,1,0,63,0,short,0,False,True,False,1,15,['US'],Short,,,102
9190,Love Makes the Pizza Go Round,8,1970,,24,0.0,1,0,39,0,tvEpisode,0,False,True,False,1,0,['US'],Comedy,,,24
9191,Just for Laughs 2022: The Gala Specials - Jo Koy,6,2023,,92,0.0,1,0,11,0,movie,0,False,True,False,1,0,['US'],Comedy,,,26
9192,Law of the Valley,6,1944,,52,0.0,4,0,34,1,movie,0,False,True,False,2,0,['US'],Western,,,27
9193,Welcome to Tijuana,10,2009,,40,0.0,1,2,5,1,short,0,False,True,False,1,2,['DE'],Documentary,Short,,16
9194,#halloweenparty,8,2015,,13,0.0,2,0,19,0,short,0,False,True,False,1,0,"['RU', 'US']",Horror,Mystery,Romance,44
9195,Seven Years of Marriage,7,2012,,155,0.0,0,0,12,2,video,0,False,True,True,1,1,['CA'],Adult,Comedy,Romance,8
9196,Bombshell Bloodbath,4,2014,,80,0.0,2,0,97,15,movie,0,False,True,False,4,7,['US'],Horror,,,314
9197,Love Under the Rainbow,7,2019,,80,0.0,36,1,86,1,tvMovie,0,False,True,False,12,33,"['CA', 'US']",Romance,,,1140
9198,Can You Dig It?,9,2015,,22,0.0,3,0,59,0,tvEpisode,0,False,True,False,1,0,['US'],Action,Adventure,Animation,31
9199,Episode #2.4,8,2016,,60,0.0,0,0,127,2,tvEpisode,0,False,True,False,7,0,['DK'],Crime,Drama,Thriller,110
9200,Maigret à Vichy,8,1984,,85,0.0,1,0,53,0,tvEpisode,0,False,True,False,1,0,['FR'],Crime,Drama,,15
9201,JK's House,7,2013,,97,0.0,3,0,21,0,movie,0,False,True,False,1,0,['US'],Family,Music,,24
9202,Number One Gun,5,1990,,96,0.0,1,0,48,0,movie,0,False,True,False,3,1,['GB'],Action,Comedy,,31
9203,Vigilante Rodoviário,8,1959,,53,0.0,11,0,93,0,tvSeries,0,True,True,False,2,2,['BR'],Adventure,,,56
9204,The Sinister Six,7,2013,,1,0.0,5,0,1,0,tvEpisode,0,False,True,False,1,0,['US'],Action,Adventure,Animation,14
9205,Félmondatok,8,2019,,13,,1,0,9,0,short,0,False,True,False,1,0,['HU'],Short,,,43
9206,Le cinque stagioni,7,1976,,129,0.0,0,0,29,0,tvMiniSeries,0,True,True,False,1,0,['IT'],,,,13
9207,The Beauty Queen Affair,7,1981,,29,0.0,3,0,41,1,tvEpisode,0,False,True,False,1,1,['GB'],Comedy,,,48
9208,Re-Born This Way,8,2019,,60,0.0,10,0,31,0,tvEpisode,0,False,True,False,1,0,['TH'],Game-Show,Reality-Tv,,79
9209,Sean Lock: Lockipedia Live,7,2010,,98,0.0,1,0,63,0,video,0,False,True,False,1,5,['GB'],Comedy,,,513
9210,Diamonds Are Forever,7,1982,,30,,0,0,42,0,tvEpisode,0,False,True,False,1,0,['US'],Comedy,,,95
9211,Svjetla grada,5,2013,,47,0.0,1,0,43,0,movie,0,False,True,False,1,0,['BA'],Drama,,,35
9212,The Dick Cavett Show,8,1975,1982.0,30,0.0,8,0,200,1,tvSeries,3,True,True,False,1,0,['US'],Talk-Show,,,281
9213,Somos los mejores,7,1968,,80,0.0,1,0,27,0,movie,0,False,True,False,2,0,['AR'],,,,24
9214,Rest House,6,1969,,92,0.0,1,0,31,1,movie,0,False,True,False,2,1,['IN'],Thriller,,,23
9215,Fashionable Crimes,8,2016,,42,0.0,18,3,150,2,tvEpisode,0,False,True,False,1,5,['US'],Crime,Drama,Mystery,801
9216,Lords of the Jungle,7,2006,,175,0.0,0,0,18,0,video,2,False,True,True,1,1,['GB'],Adult,,,10
9217,Thanksgiving,8,1997,,40,0.0,1,0,61,0,tvEpisode,0,False,True,False,1,1,['US'],Comedy,Family,,252
9218,Historical Play Performer Murder Case: Part 2,8,1998,,24,0.0,1,0,29,1,tvEpisode,0,False,True,False,1,0,['JP'],Action,Animation,Comedy,104
9219,Sting: Ten Summoners Tales,9,1993,,71,0.0,3,0,14,0,video,0,False,True,False,1,2,"['GB', 'US']",Documentary,Music,,74
9220,Snack Thief,8,2010,,7,,1,0,8,0,tvEpisode,0,False,True,False,1,0,['FR'],Animation,Comedy,Family,10
9221,Jung,6,1988,,40,0.0,1,0,25,0,tvEpisode,0,False,True,False,1,0,['IN'],Action,Drama,,17
9222,Men of Steel,8,1926,,100,4.0,9,0,21,1,movie,0,False,True,False,10,0,['US'],Drama,Romance,,13
9223,Eroticna kankei,5,1978,,93,0.0,1,0,33,0,movie,0,False,True,False,5,0,['JP'],Mystery,Thriller,,20
9224,Daftar Yad Dasht,7,2023,,50,0.0,58,0,62,0,tvSeries,0,True,True,False,8,0,['IR'],Comedy,Crime,Drama,1444
9225,Vías paralelas,7,1975,,90,0.0,1,0,13,0,movie,0,False,True,False,1,1,['CL'],Drama,,,7
9226,May 33rd,8,2004,,95,1.0,1,0,44,0,tvMovie,2,False,True,False,1,4,['GB'],Drama,,,65
9227,E! Entertainment Special: Tom Cruise,5,2004,,81,0.0,0,0,9,0,tvMovie,0,False,True,False,1,0,['US'],Documentary,,,41
9228,Cinemawala,8,2016,,105,3.0,10,1,30,4,movie,1,False,True,False,1,6,['IN'],Drama,Family,,789
9229,Night Vision,5,1997,,97,1.0,69,1,69,7,movie,0,False,True,False,10,25,['US'],Crime,Drama,Thriller,623
